,Player,G,GS,Int,Yds,IntTD,Lng,PD,FF,Fmb,FR,Yds.1,FRTD,Sk,Comb,Solo,Ast,TFL,QBHits,Sfty,Awards
260,josh paschal,11.0,4.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.5,0.0,0.0,1.5,20.5,13.5,7.0,3.5,3.5,0.0,0.0
261,josh sweat,17.0,17.0,0.0,0.0,0.0,0.0,1.0,2.0,0.0,0.0,0.0,0.0,6.5,43.0,30.0,13.0,7.0,23.0,0.0,0.0
262,josh tupou,15.5,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.5,5.5,10.0,0.5,1.0,0.0,0.0
263,joshua pryor,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0
264,joshua uche,13.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,23.0,17.0,6.0,2.0,3.0,0.0,0.0
265,josiah bronson,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.0,8.0,4.0,1.0,1.0,0.0,0.0
266,jowon briggs,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,13.0,3.0,10.0,1.0,2.0,0.0,0.0
267,justin eboigbe,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,1.0,0.0,0.0,0.0,0.0
268,justin ellis,17.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,22.0,5.0,17.0,2.0,1.0,0.0,0.0
269,justin hamilton,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,6.0,4.0,1.0,2.0,0.0,0.0
270,justin jones,3.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,4.0,3.0,1.0,1.0,1.0,0.0,0.0
271,justin lawler,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0
272,justin zimmer,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,8.0,2.0,6.0,2.0,4.0,0.0,0.0
273,k'lavon chaisson,15.0,4.0,1.0,0.0,0.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0,5.0,32.0,19.0,13.0,7.0,8.0,0.0,0.0
274,kahlil mckenzie,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,1.0,3.0,0.0,0.0,0.0,0.0
275,kalia davis,8.0,0.0,0.5,1.0,0.0,1.0,0.5,0.0,0.0,0.0,0.0,0.0,0.5,6.5,3.5,3.0,0.5,0.5,0.0,0.0
276,kameron cline,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0
277,karl brooks,17.0,0.0,0.0,0.0,0.0,0.0,3.0,1.0,0.0,2.5,0.0,0.0,3.75,22.0,13.0,9.0,5.0,5.5,0.0,0.0
278,keeanu benton,17.0,9.0,0.0,0.0,0.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,1.0,36.0,16.0,20.0,1.0,8.0,0.0,0.0
