Year,Player,Career AV
2022,Aaron Hansford,0
2022,Christian Harris,13
2022,Kevin Harris,0
2022,Kolby Harvell-Peel,0
2022,Hassan Haskins,2
2022,Blake Hayes,0
2022,Marquis Hayes,0
2022,Peyton Hendershot,0
2022,Connor Heyward,0
2022,Daxton Hill,9
2022,Chasen Hines,0
2022,Christopher Hinton,0
2022,Curtis Hodges,0
2022,Sam Howell,0
2022,Aidan Hutchinson,20
2022,Jermaine Johnson II,14
2022,Johnny Johnson III,0
2022,Verone McKinley III,0
2022,Ed Ingram,16
2022,Keaontay Ingram,0
2022,D'Marco Jackson,0
2022,Drake Jackson,3
2022,Jordan Jackson,0
2022,Joshua Jobe,0
2022,Josh Johnson,0
2022,Tyree Johnson,0
2022,Zion Johnson,20
2022,Braxton Jones,0
2022,Jack Jones,10
2022,Marcus Jones,14
2022,Travis Jones,9
2022,Velus Jones,3
2022,Kerby Joseph,23
2022,Kevin Austin Jr.,0
2022,Reggie Roberson Jr.,0
2022,Cameron Jurgens,14
2022,George Karlaftis,20
2022,Cole Kelley,0
2022,Derion Kendrick,0
2022,D'Eriq King,0
2022,Darian Kinnard,0
2022,Zonovan Knight,0
2022,Charlie Kolar,2
2022,Quentin Lake,0
2022,Nate Landman,0
2022,DeMarvin Leal,4
2022,Isaiah Likely,0
2022,Tyler Linderbaum,25
2022,Alec Lindstrom,0
2022,Devin Lloyd,20
2022,Drake London,25
2022,Vederian Lowe,0
2022,Abraham Lucas,15
2022,Chase Lucas,0
2022,Jesse Luketa,0
2022,Boye Mafe,14
2022,DeAngelo Malone,3
2022,Phidarian Mathis,2
2022,Cade Mays,0
2022,Trey McBride,20
2022,Marquan McCall,0
2022,Zakoby McClain,0
2022,Zyon McCollum,0
2022,Sincere McCormick,0
2022,Roger McCreary,13
2022,Trent McDuffie,28
2022,Micah McFadden,0
2022,Marcus McKethan,0
2022,Bo Melton,0
2022,John Metchie,3
2022,James Mitchell,0
2022,Max Mitchell,5
2022,Smoke Monday,0
2022,Jeremiah Moon,0
2022,Skyy Moore,4
2022,Chad Muma,6
2022,Thayer Munford,0
2022,Jalen Nailor,0
2022,Evan Neal,11
2022,Leon O'Neal,0
2022,Otito Ogbonnia,0
2022,David Ojabo,2
2022,Chigoziem Okonkwo,0
2022,Chris Olave,20
2022,Esezi Otomewo,0
2022,Isiah Pacheco,0
2022,Dylan Parham,16
2022,Joshua Paschal,9
2022,Chris Paul,0
2022,Jayden Peevy,0
2022,Trevor Penning,12
2022,EJ Perry,0
2022,Nicholas Petit-Frere,11
2022,Kyle Philips,0
2022,George Pickens,24
2022,Kenny Pickett,14
2022,Alec Pierce,15
2022,Dameon Pierce,12
2022,Jalen Pitre,16
2022,Makai Polk,0
2022,D'vonte Price,0
2022,Brock Purdy,0
2022,Teagan Quitoriano,0
2022,Bernhard Raimann,17
2022,Charleston Rambo,0
2022,LaBryan Ray,0
2022,Sean Rhyan,10
2022,Desmond Ridder,13
2022,John Ridgeway,0
2022,Ronnie Rivers,0
2022,Brian Robinson,16
2022,Dominique Robinson,0
2022,Tyrese Robinson,0
2022,Malcolm Rodriguez,0
2022,Mike Rose,0
2022,Dare Rosenthal,0
2022,Josh Ross,0
2022,Justyn Ross,0
2022,Jeremy Ruckert,2
2022,Andrew Rupcich,0
2022,Jamaree Salyer,0
2022,Jack Sanborn,0
