player,pos,school,wt,40yd,vertical,bench,broad jump,3cone,shuttle,ht_num,round
Jermar Jefferson,RB,Oregon St.,206,4.57,31.0,13,115,7.38,4.38,5.833333333333333,7
Teven Jenkins,OL,Oklahoma St.,317,5.01,32.5,36,106,7.72,4.66,6.416666666666667,2
Jamar Johnson,DB,Indiana,205,4.58,35.0,17,122,7.22,4.41,6.166666666666667,5
Patrick Johnson,DE,Tulane,240,4.59,35.0,16,119,6.97,4.41,6.5,7
Ernest Jones,LB,South Carolina,230,4.65,38.5,NA,NA,NA,NA,6.083333333333333,3
Mac Jones,QB,Alabama,217,4.72,32.0,NA,116,7.04,4.39,6.166666666666667,1
Patrick Jones,DL,Pittsburgh,261,4.85,31.5,22,107,NA,NA,6.333333333333333,3
Brevin Jordan,TE,Miami (FL),247,4.64,31.0,17,116,NA,NA,6.166666666666667,5
Kelvin Joseph,DB,Kentucky,197,4.34,35.0,NA,128,7.21,4.22,5.916666666666667,2
Kary Vincent Jr.,CB,LSU,185,4.36,35.5,8,117,NA,NA,5.75,7
Malcolm Koonce,DE,Buffalo,249,NA,NA,NA,NA,NA,NA,6.166666666666667,3
Trey Lance,QB,North Dakota St.,224,NA,NA,NA,NA,NA,NA,6.25,1
Cole Van Lanen,OL,Wisconsin,305,5.11,30.0,22,107,7.34,4.64,6.333333333333333,6
Trevor Lawrence,QB,Clemson,213,NA,NA,NA,NA,NA,NA,6.416666666666667,1
Alex Leatherwood,OL,Alabama,312,4.96,34.5,NA,118,NA,NA,6.416666666666667,1
Richard LeCounte,DB,Georgia,196,4.79,32.5,NA,128,7.44,4.49,5.833333333333333,5
Deommodore Lenoir,CB,Oregon,199,4.48,34.5,15,121,7.02,4.35,5.833333333333333,5
Walker Little,OT,Stanford,313,5.30,29.5,24,111,7.44,4.59,6.583333333333333,2
Isaiahh Loudermilk,DE,Wisconsin,274,5.08,28.5,21,112,7.52,4.55,6.5,5
Tre' McKitty,TE,Georgia,247,NA,NA,NA,NA,NA,NA,6.333333333333333,3
Racey McMath,WR,LSU,217,4.36,34.0,NA,124,7.38,4.38,6.166666666666667,6
Quinn Meinerz,OL,Wisconsin–Whitewater,320,4.99,32.0,NA,111,7.54,4.58,6.166666666666667,3
Ifeatu Melifonwu,DB,Syracuse,205,4.48,41.5,16,134,7.01,4.34,6.166666666666667,3
Davis Mills,QB,Stanford,217,4.82,32.0,NA,110,6.95,4.40,6.25,3
Dax Milne,WR,BYU,NA,4.54,31.0,14,114,NA,4.19,NA,7
Elijah Mitchell,RB,Louisiana,201,4.38,37.5,17,128,6.94,4.19,5.833333333333333,6
Trevon Moehrig,S,TCU,NA,4.50,33.0,NA,NA,NA,4.19,NA,2
Elijah Molden,DB,Washington,192,4.62,36.5,13,125,NA,NA,5.75,3
Elijah Moore,WR,Mississippi,NA,4.35,36.0,17,121,6.63,4.07,NA,2
Rondale Moore,WR,Purdue,180,4.28,42.5,NA,NA,6.65,4.06,5.583333333333333,2
Jimmy Morrissey,OL,Pittsburgh,303,5.31,31.0,26,105,7.39,4.47,6.25,7
Israel Mukuamu,DB,South Carolina,NA,NA,36.0,34,NA,NA,NA,NA,6
Josh Myers,C,Ohio St.,310,NA,NA,29,NA,NA,NA,6.416666666666667,2
Hamsah Nasirildeen,DB,Florida St.,215,NA,32.0,17,NA,7.05,4.31,6.25,6
Dazz Newsome,WR,North Carolina,190,4.59,34.0,12,121,7.38,4.38,5.833333333333333,6
Greg Newsome,DB,Northwestern,192,4.39,40.0,18,123,6.90,4.26,6.0,1
Daviyon Nixon,DT,Iowa,313,4.90,28.5,NA,106,7.68,4.70,6.25,5
Tre Nixon,WR,Central Florida,187,4.44,35.5,18,125,6.81,4.27,6.0,7
Tre Norwood,DB,Oklahoma,192,4.58,33.5,12,123,7.65,4.45,5.916666666666667,7
Dayo Odeyingbo,DL,Vanderbilt,276,NA,NA,NA,NA,NA,NA,6.416666666666667,2
Adetokunbo Ogundeji,DL,Notre Dame,260,4.75,32.0,22,120,7.17,4.64,6.333333333333333,5
Azeez Ojulari,OLB,Georgia,249,4.63,30.0,26,127,7.27,4.34,6.166666666666667,2
Levi Onwuzurike,DL,Washington,290,4.89,30.0,29,109,NA,NA,6.166666666666667,2
Joseph Ossai,LB,Texas,256,4.63,41.5,19,131,NA,NA,6.25,3
Jayson Oweh,DE,Penn St.,257,4.36,39.5,21,134,6.83,4.21,6.416666666666667,1
Jeremiah Owusu-Koramoah,LB,Notre Dame,221,NA,36.5,NA,124,6.80,4.15,6.083333333333333,2
Micah Parsons,LB,Penn St.,246,4.39,34.0,19,126,6.89,4.40,6.25,1
Kwity Paye,DL,Michigan,261,4.52,35.3,36,118,NA,NA,6.166666666666667,1
Ronnie Perkins,DE,Oklahoma,253,4.71,32.0,25,115,NA,4.69,6.166666666666667,3
Jaelan Phillips,DL,Miami (FL),260,4.56,36.0,21,125,NA,NA,6.416666666666667,1
Kyle Pitts,TE,Florida,245,4.44,33.5,22,129,7.12,4.30,6.416666666666667,1
Cornell Powell,WR,Clemson,204,4.53,36.5,16,128,7.03,4.21,6.0,5
Dillon Radunz,OT,North Dakota St.,301,5.16,32.0,24,112,7.27,4.57,6.416666666666667,2
Monty Rice,LB,Georgia,233,4.58,32.0,NA,121,7.34,4.33,6.0,3
Aaron Robinson,DB,Central Florida,186,4.39,37.0,15,123,6.89,4.29,5.916666666666667,3
Quincy Roche,DL,Miami (FL),NA,NA,32.5,23,119,NA,NA,NA,6
Robert Rochell,DB,Central Arkansas,193,4.41,43.0,9,133,6.84,4.08,5.916666666666667,4
Amari Rodgers,WR,Clemson,212,4.52,33.0,19,121,7.07,4.31,5.75,3
Larry Rountree,RB,Missouri,NA,4.62,30.0,NA,NA,6.96,NA,NA,6
Gregory Rousseau,DL,Miami (FL),266,4.68,30.0,21,115,NA,NA,6.5,1
Chris Rumph,DE,Duke,244,NA,NA,18,NA,NA,NA,6.166666666666667,4
Anthony Schwartz,WR,Auburn,186,4.27,32.0,NA,123,7.13,4.25,6.0,3
Trey Sermon,RB,Ohio St.,215,4.57,37.0,NA,125,6.83,4.28,6.0,3
Penei Sewell,OL,Oregon,331,5.13,28.0,30,109,7.76,4.68,6.333333333333333,1
Tyler Shelvin,DT,LSU,350,5.40,28.5,NA,97,8.15,5.05,6.166666666666667,4
William Sherman,OL,Colorado,304,5.19,26.0,23,108,7.71,4.82,6.25,6
Jamien Sherwood,DB,Auburn,216,4.76,36.0,15,123,7.15,4.36,6.083333333333333,5
Rashawn Slater,OL,Northwestern,304,4.91,33.0,33,112,7.48,4.45,6.333333333333333,1
Tedarrell Slaton,DL,Florida,330,5.09,29.0,27,109,7.91,4.81,6.333333333333333,5
Elerson Smith,DL,Northern Iowa,NA,4.71,41.5,26,127,7.00,4.39,NA,4
Jordan Smith,OLB,Ala-Birmingham,264,4.80,33.0,16,117,NA,NA,6.416666666666667,4
Ihmir Smith-Marsette,WR,Iowa,181,4.43,37.0,NA,124,7.00,4.20,6.0,5
Benjamin St-Juste,DB,Minnesota,202,4.51,34.5,11,119,6.63,3.96,6.25,3
Caden Sterns,DB,Texas,202,4.41,42.0,14,128,6.96,4.13,5.916666666666667,5
Jacoby Stevens,S,LSU,212,4.63,42.0,NA,130,NA,NA,6.083333333333333,6
Marquez Stevenson,WR,Houston,180,4.48,33.0,NA,122,6.76,4.14,5.833333333333333,6
